Symbol,Description,Min,Typ,Max,Unit,Condition
tF,TX fall time,380,—,554,ps,"Slew rate FSEL1 = 11b, Fast Slew Rate (1.62 V, 1.8 V, 1.98 V), Drive strength x5"
tR,TX rise time,419,—,639,ps,"Slew rate FSEL1 = 11b, Fast Slew Rate (1.62 V, 1.8 V, 1.98 V), Drive strength x5"
tF,TX fall time,349,—,506,ps,"Slew rate FSEL1 = 11b, Fast Slew Rate (1.62 V, 1.8 V, 1.98 V), Drive strength x6"
tR,TX rise time,4030,—,5790,ps,"Slew rate FSEL1 = 11b, Fast Slew Rate (3 V, 3.3 V, 3.465 V), Drive strength x6"
tF,TX fall time,4410,—,6290,ps,"Slew rate FSEL1 = 11b, Fast Slew Rate (3 V, 3.3 V, 3.465 V), Drive strength x1"
tR,TX rise time,1870,—,2950,ps,"Slew rate FSEL1 = 11b, Fast Slew Rate (3 V, 3.3 V, 3.465 V), Drive strength x1"
tF,TX fall time,1900,—,3310,ps,"Slew rate FSEL1 = 11b, Fast Slew Rate (1.62 V, 1.8 V, 1.98 V), Drive strength x2"
tR,TX rise time,774,—,1930,ps,"Slew rate FSEL1 = 11b, Fast Slew Rate (3 V, 3.3 V, 3.465 V), Drive strength x2"
tF,TX fall time,719,—,2070,ps,"Slew rate FSEL1 = 11b, Fast Slew Rate (3 V, 3.3 V, 3.465 V), Drive strength x3"
tR,TX rise time,598,—,1360,ps,"Slew rate FSEL1 = 11b, Fast Slew Rate (3 V, 3.3 V, 3.465 V), Drive strength x3"
tF,TX fall time,490,—,1590,ps,"Slew rate FSEL1 = 11b, Fast Slew Rate (3 V, 3.3 V, 3.465 V), Drive strength x4"
