Pad name,RGMII,Alt mode,RMII,Alt mode,Direction
ENET2_MDC,RGMII_MDC,Alt 0,RMII_MDC,Alt 0,O
ENET2_MDIO,RGMII_MDIO,Alt 0,RMII_MDIO,Alt 0,I/O
ENET2_TXC,RGMII_TXC,Alt 0,RMII_TX_ER,Alt 1,O
ENET2_TX_CTL,RGMII_TX_CTL,Alt 0,RMII_TX_EN,Alt 0,O
ENET2_TD0,RGMII_TD0,Alt 0,RMII_TD0,Alt 0,O
ENET2_TD1,RGMII_TD1,Alt 0,RMII_TD1,Alt 0,O
ENET2_TD2,RGMII_TD2,Alt 0,RMII_REF_CLK,Alt 1,I/O
ENET2_TD3,RGMII_TD3,Alt 0,-,Alt 0,O
ENET2_RXC,RGMII_RXC,Alt 0,RMII_RX_ER,Alt 1,I
ENET2_RX_CTL,RGMII_RX_CTL,Alt 0,RMII_CRS_DV,Alt 0,I
ENET2_RD0,RGMII_RD0,Alt 0,RMII_RD0,Alt 0,I
