Pad name,RGMII,Alt mode,RMII,Alt mode,Direction
ENET1_MDC,RGMII_MDC,Alt 0,RMII_MDC,Alt 0,O
ENET1_MDIO,RGMII_MDIO,Alt 0,RMII_MDIO,Alt 0,I/O
ENET1_TXC,RGMII_TXC,Alt 0,RMII_TX_ER,Alt 1,O
ENET1_TX_CTL,RGMII_TX_CTL,Alt 0,RMII_TX_EN,Alt 0,O
ENET1_TD0,RGMII_TD0,Alt 0,RMII_TD0,Alt 0,O
ENET1_TD1,RGMII_TD1,Alt 0,RMII_TD1,Alt 0,O
ENET1_TD2,RGMII_TD2,Alt 0,RMII_REF_CLK,Alt 1,I/O
ENET1_TD3,RGMII_TD3,Alt 0,-,Alt 0,O
ENET1_RXC,RGMII_RXC,Alt 0,RMII_RX_ER,Alt 1,I
ENET1_RX_CTL,RGMII_RX_CTL,Alt 0,RMII_CRS_DV,Alt 0,I
ENET_RX_CTL,RGMII_RX_CTL,Alt 0,RMII_CRS_DV,Alt 0,I
ENET1_RD0,RGMII_RD0,Alt 0,RMII_RD0,Alt 0,I
ENET1_RD1,RGMII_RD1,Alt 0,RMII_RD1,Alt 0,I
ENET1_RD2,RGMII_RD2,Alt 0,-,Alt 0,I
ENET1_RD3,RGMII_RD3,Alt 0,-,Alt 0,I
