Ball name,14 x 14 ball,Power group,Ball Types,Default setting,Default setting,Default setting,Status while reset is asserted
ADC_IN0,B19,VDD_ANA_P8,ANALOG,—,—,—,Input without PU1 / PD2
ADC_IN01,A20,VDD_ANA_1_P8,ANALOG,—,—,—,Input without PU / PD
ADC_IN1,A20,VDD_ANA_1_P8,ANALOG,—,—,—,Input without PU / PD
ADC_IN2,B20,VDD_ANA_1_P8,ANALOG,—,—,—,Input without PU / PD
ADC_IN3,B21,VDD_ANA_1_P8,ANALOG,—,—,—,Input without PU / PD
ADC_INK,B21,VDD_ANA_1_P8,ANALOG,—,—,—,Input without PU / PD
CCM_CLKO1,AA2,NVCC_WAKEUP,GPIO,Alt0,CCMSRCGPCMIX.CLK01,—,Output low
CCM_CLKO2,Y,NVCC_WAKEUP,GPIO,Alt0,CCMSRCGPCMIX.CLK02,—,Output low
CCM_CLKO2,Y3,NVCC_WAKEUP,GPIO,Alt,CCMSRCGPCMIX.CLK02,—,Output low
CCM_CLKO3,U4,NVCC_WAKEUP,GPIO,Alt5,GPIO4.IO[28],—,Input with PD
CCM_CLKO4,V4,NVCC_WAKEUP,GPIO,Alt5,GPIO4.IO[29],—,Input with PD
CLKIN1,B17,VDD_ANA_P8,ANALOG,—,—,—,Input without PU / PD
CLKIN2,A18,VDD_ANA_1_P8,ANALOG,—,—,—,Input without PU / PD
DAP_TCLK_SWCLK,Y1,NVCC_WAKEUP,GPIO,Alt0,DAP.TCLK_SWCLK,—,Input with PD
DAP_TDI,W1,NVCC_WAKEUP,GPIO,Alt0,DAP.TDI,—,Input with PU
DAP_TDO_TRACESWO,Y2,NVCC_WAKEUP,GPIO,Alt0,DAP.TDO_TRACESWO,—,Input without PU / PD
DAP_TMS_SWDIO,W2,NVCC_WAKEUP,GPIO,Alt0,DAP.TMS_SWDIO,—,Input with PU
DRAM_CA0_A,H2,VDD2_DDR,DDR,—,—,—,—
DRAM_CA1_A,G1,VDD2_DDR,DDR,—,—,—,—
DRAM_CA2_A,F2,VDD2_DDR,DDR,—,—,—,—
DRAM_CA3_A,E1,VDD2_DDR,DDR,—,—,—,—
DRAM_CA3_A,E1,VDD2_DDR,DDR,—,—,—,—
DRAM_CA4_A,E2,VDD2_DDR,DDR,—,—,—,—
DRAM_CA5_A,D1,VDD2_DDR,DDR,—,—,—,—
