Ball name,14 x 14,Power group,Ball Types,Default setting,Default setting,Status while reset is asserted
GPIO_IO10,N17,NVCC_GPIO,GPIO,Alt0,GPIO2.IO[10],Input with PD
GPIO_IO11,N18,NVCC_GPIO,GPIO,Alt0,GPIO2.IO[11],Input with PD
GPIO_IO12,N20,NVCC_GPIO,GPIO,Alt0,GPIO2.IO[12],Input with PD
GPIO_IO12,N20,NVCC_GPIO,GPIO,Alt0,GPIO2.IO[12],Input with PD
GPIO_IO13,N21,NVCC_GPIO,GPIO,Alt0,GPIO2.IO[13],Input with PD
GPIO_IO14,P20,NVCC_GPIO,GPIO,Alt0,GPIO2.IO[14],Input with PD
GPIO_IO15,P21,NVCC_GPIO,GPIO,Alt0,GPIO2.IO[15],Input with PD
GPIO_IO16,R21,NVCC_GPIO,GPIO,Alt0,GPIO2.IO[16],Input with PD
GPIO_IO17,R20,NVCC_GPIO,GPIO,Alt0,GPIO2.IO[17],Input with PD
GPIO_IO17,R2,NVCC_GPIO,GPIO,Alt0,GPIO2.IO[17],Input with PD
GPIO_IO18,R18,NVCC_GPIO,GPIO,Alt0,GPIO2.IO[18],Input with PD
GPIO_IO19,R17,NVCC_GPIO,GPIO,Alt0,GPIO2.IO[19],Input with PD
GPIO_IO20,T20,NVCC_GPIO,GPIO,Alt0,GPIO2.IO[20],Input with PD
GPIO_IO21,T21,NVCC_GPIO,GPIO,Alt0,GPIO2.IO[21],Input with PD
GPIO_IO22,U18,NVCC_GPIO,GPIO,Alt0,GPIO2.IO[22],Input with PD
GPIO_IO23,U20,NVCC_GPIO,GPIO,Alt0,GPIO2.IO[23],Input with PD
GPIO_IO23,U20,NVCC_GPIO,GPIO,Alt0,GPIO2.IO[23],Input with PD
GPIO_IO24,U21,NVCC_GPIO,GPIO,Alt0,GPIO2.IO[24],Input with PD
GPIO_IO25,V21,NVCC_GPIO,GPIO,Alt0,GPIO2.IO[25],Input with PD
GPIO_IO26,V20,NVCC_GPIO,GPIO,Alt0,GPIO2.IO[26],Input with PD
GPIO_IO27,W21,NVCC_GPIO,GPIO,Alt0,GPIO2.IO[27],Input with PD
GPIO_IO28,W20,NVCC_GPIO,GPIO,Alt0,GPIO2.IO[28],Input with PD
GPIO_IO29,Y21,NVCC_GPIO,GPIO,Alt0,GPIO2.IO[29],Input with PD
GPIO_IO29,Y21,NVCC_GPIO,GPIO,Alt0,GPIO2.IO[29],Input with PD
I2C1_SCL,C20,NVCC_AON,GPIO,Alt5,GPIO1.IO[0],Input with PD
I2C1_SDA,C21,NVCC_AON,GPIO,Alt5,GPIO1.IO[1],Input with PD
I2C2_SCL,D20,NVCC_AON,GPIO,Alt5,GPIO1.IO[2],Input with PD
