Ball name,14 x 14,Power group,Ball Types,Default setting,Default setting,Default setting,Status while reset is asserted
I2C2_SDA,D21,NVCC_AON,GPIO,Alt5,GPIO1.IO[3],Input with PD,
LVDS_D0_P,B5,VDD_LVDS_1P8,PHY,—,GPIO1[3],—,—
LVDS_D0_N,A5,VDD_LVDS_1P8,PHY,—,—,—,—
LVDS_D1_P,B4,VDD_LVDS_1P8,PHY,—,—,—,—
LVDS_D1_N,A4,VDD_LVDS_1P8,PHY,—,—,—,—
LVDS_D2_P,B2,VDD_LVDS_1P8,PHY,—,—,—,—
LVDS_D2_N,A2,VDD_LVDS_1P8,PHY,—,—,—,—
LVDS_D3_P,C1,VDD_LVDS_1P8,PHY,—,—,—,—
LVDS_D3_N,B1,VDD_LVDS_1P8,PHY,—,—,—,—
LVDS_CLK_P,B3,VDD_LVDS_1P8,PHY,—,—,—,—
LVDS_CLK_N,A3,VDD_LVDS_1P8,PHY,—,—,—,—
MIPI_CSI1_CLK_N,D10,MIPI_CSI1_VPH,PHY,—,—,—,—
MIPI_CSI1_CLK_P,E10,MIPI_CSI1_VPH,PHY,—,—,—,—
MIPI_CSI1_D0_N,A11,MIPI_CSI1_VPH,PHY,—,—,—,—
MIPI_CSI1_D0_P,B11,MIPI_CSI1_VPH,PHY,—,—,—,—
MIPI_CSI1_D1_N,A10,MIPI_CSI1_VPH,PHY,—,—,—,—
MIPI_CSI1_D1_P,B10,MIPI_CSI1_VPH,PHY,—,—,—,—
MIPI_DSI1_CLK_N,D6,MIPI_DSI1_VPH,PHY,—,—,—,—
MIPI_DSI1_CLK_P,E6,MIPI_DSI1_VPH,PHY,—,—,—,—
MIPI_DSI1_CLK,A6,MIPI_DSI1_VPH,PHY,—,—,—,—
MIPI_DSI1_D0_N,A6,MIPI_DSI1_VPH,PHY,—,—,—,—
MIPI_DSI1_D0_P,B6,MIPI_DSI1_VPH,PHY,—,—,—,—
MIPI_DSI1_D1_N,A7,MIPI_DSI1_VPH,PHY,—,—,—,—
MIPI_DSI1_D1_P,B7,MIPI_DSI1_VPH,PHY,—,—,—,—
