Ball name,14 x 14,Power group,Ball Types,Default setting,Default setting,Status while reset is asserted
MIPI_DSI1_D2_N,A8,MIPI_DSI1_VPH,PHY,—,—,—
MIPI_DSI1_D2_P,B8,MIPI_DSI1_VPH,PHY,—,—,—
MIPI_DSI1_D,A9,MIPI_DSI1_VPH,PHY,—,—,—
MIPI_DSI1_D3_N,A9,MIPI_DSI1_VPH,PHY,—,—,—
MIPI_DSI1_D3_P,B9,MIPI_DSI1_VPH,PHY,—,—,—
MIPI_REXT,D8,MIPI_DSI1_VPH,PHY,—,BBSMMIX.ONOFF,—
ONOFF,A19,NVCC_BSM1_P8,GPIO,Alt0,BBSMMIX.ONOFF,Input without PU / PD
PDM_DSI_STREAM,J,NVCC_BSM8,GPIO,Alt5,GPIO1.IO[9],Input with PD
PDM_BIT_STREAM0,J17,NVCC_AON,GPIO,Alt5,GPIO1.IO[9],Input with PD
PDM_BIT_STREAM1,G18,NVCC_AON,GPIO,Alt5,GPIO1.IO[10],Input with PD
PDM_CLK,G17,NVCC_AON,GPIO,Alt5,GPIO1.IO[8],Input with PD
PMIC_ON_REQ,A17,NVCC_BSM1_P8,GPIO,Alt0,BBSMMIX.PMIC_ON_REQ,Output high without PU / PD
PMIC_STBY_REQ,B18,NVCC_BSM1_P8,GPIO,Alt0,BBSMMIX.PMIC_STBY_REQ,Output low without PU / PD
POR_B,A16,NVCC_BSM1_P8,GPIO,Alt0,BBSMMIX.POR_B,Input without PU / PD
RTC_XTALI,E16,NVCC_BSM1_P8,ANALOG,Alt0,BBSMMIX.RTC,—
RTC_XTALO,D16,NVCC_BSM1_P8,ANALOG,—,—,—
SAI1_RXD0,H20,NVCC_AON,GPIO,Alt5,GPIO1.IO[14],Input with PD
SAI1_TXC,G20,NVCC_AON,GPIO,Alt5,GPIO1.IO[12],Input with PD
SAI1_TXC,G20,NVCC_AON,GPIO,Alt5,GPIO1.IO[13],Input with PD
SAI1_TXD0,H21,NVCC_AON,GPIO,Alt5,CCMSRCGPCMIX.BOOT_MODE[3],Input with PD
SAI1_TXFS,G21,NVCC_AON,GPIO,Alt5,CCMSRCGPCMIX.BOOT_MODE[2],Input with PD
