Ball name,LPDDR4/LPDDR4x
DRAM_DQS_T_A,DQSA_T[0]
DRAM_DQ0_A,DQSA[0]
DRAM_DQ0_C_A,DQSA_C[0]
DRAM_DMI0_A,DM/DBIA[0]
DRAM_DQ0_A,DQA[0]
DRAM_DQ01_A,DQA[1]
DRAM_DQ02_A,DQA[2]
DRAM_DQ03_A,DQA[3]
DRAM_DQ04_A,DQA[4]
DRAM_DQ05_A,DQA[5]
DRAM_DQ06_A,DQA[6]
DRAM_DQ07_A,DQA[7]
DRAM_DQS1_T_A,DQSA_T[1]
DRAM_DQS1_C_A,DQSA_C[1]
DRAM_DQS1_C_A,DQSA_C[1]
DRAM_DMI1_A,DM/DBIA[1]
DRAM_DQ08_A,DQA[8]
DRAM_DQ09_A,DQA[9]
DRAM_DQ10_A,DQA[10]
DRAM_DQ11_A,DQA[11]
DRAM_DQ11_A,DQA[11]
DRAM_DQ12_A,DQA[12]
DRAM_DQ13_A,DQA[13]
DRAM_DQ14_A,DQA[14]
DRAM_DQ15_A,DQA[15]
DRAM_RESET_N,RESET_N
